_id,name,description,tags,clauseID
10,Extra inspection time; Normal rejection rights and Deemed Acceptance. ,"CompareAcceptanceAcceptance of Delivery. [PARTY A] will be deemed to have completed its delivery obligations ifwithin [10] Business Days of the Acceptance Period [PARTY B] fails to notify [PARTY A] that the [DELIVERABLE] fails to satisfy the Acceptance Criteria,at any time after the Acceptance Period, [PARTY B] sells, runs, or otherwise uses the [DELIVERABLE] in a way a reasonable person would consider consistent with [PARTY B] having accepting ownership of the [DELIVERABLE] from [PARTY A], orin [PARTY B]'s opinion the [DELIVERABLE] satisfies the Acceptance Criteria, and[PARTY B] notifies [PARTY A] it is accepting the [DELIVERABLE].Rejection. If in [PARTY B]'s opinion the [DELIVERABLE] does not satisfy the Acceptance Criteria[PARTY B] will deliver to [PARTY B] a written list detailing each failure to satisfy the Acceptance Criteria, and[PARTY A] will use reasonable efforts to promptly correct the [DELIVERABLE], and re-deliver the [DELIVERABLES] for [PARTY B] to re-inspect and evaluate the [DELIVERABLE].Continued Failure. If in [PARTY B]'s opinion, [PARTY A]'s corrections fail to satisfy the Acceptance Criteria [NUMBER OF FAILURES ACCEPTANCE CRITERIA] times, then [PARTY B] may eitherterminate this agreement; oradjust the Acceptance Criteria.Acceptance Period. [PARTY B] may have [ACCEPTANCE PERIOD] Business Days after the date of the delivery or installation of the [DELIVERABLE] to inspect and evaluate the [DELIVERABLE] (the ""Acceptance Period"").Acceptance Criteria. The Acceptance Criteria are the specifications the [DELIVERABLE] must meet for [PARTY A] to comply with its requirements and obligations, and detailed in [ATTACHMENT], attached to this agreement.",Heavy Pro-Provider,4
11,Standard ,"Acceptance and RejectionInspection Period. [PARTY B] will have [INSPECTION PERIOD] Business Days after [PARTY A] delivers the [DELIVERABLE] to inspect and test the [DELIVERABLE] to ensure it meets the Acceptance Criteria (the ""Inspection Period"").Acceptance. If in [PARTY B]'s opinion the [DELIVERABLE] meets the Acceptance Criteria, [PARTY B] will accept the [DELIVERABLE] and notify [PARTY A] that it is accepting the [DELIVERABLE].Deemed Acceptance. [PARTY B] will be deemed to have accepted the [DELIVERABLE] if[PARTY B] fails to notify [PARTY A] on or before the expiration of the Inspection Period, orif during the Inspection Period, [PARTY B] sells or attempts to sell, runs, or otherwise uses the [DELIVERABLE] beyond what is necessary for inspection and testing and in a way a reasonable person would consider consistent with [PARTY B] having accepting ownership of the [DELIVERABLE] from [PARTY A].Rejection. If in [PARTY B]'s opinion, the [DELIVERABLE] fails in a material way to meet the Acceptance Criteria, [PARTY B] may reject the [DELIVERABLE] by delivering to [PARTY A] a written list detailing each failure to satisfy the Acceptance Criteria.Opportunity to Cure. If [PARTY B] rejects the [DELIVERABLE], [PARTY A] will have [NUMBER OF OPPORTUNITIES TO CURE] opportunities to promptly cure each failure in the [DELIVERABLE] and re-deliver the [DELIVERABLE] to [PARTY B] to re-inspect and test.Continued Failure to Cure. If in [PARTY B]'s opinion, [PARTY A]'s corrections fail to satisfy the Acceptance Criteria [NUMBER OF OPPORTUNITIES TO CURE] times, [PARTY B] may terminate this agreement.Acceptance Criteria. ""Acceptance Criteria"" means the specifications the [DELIVERABLE] must meet, [as agreed on by the parties in writing / as listed in [ATTACHMENT], attached to this agreement].",Neutral,5
12,Reject for material failures + option to adjust acceptance criteria ,"CompareAcceptance and RejectionInspection Period. [PARTY B] will have [INSPECTION PERIOD] Business Days after [PARTY A] delivers the [DELIVERABLE] to inspect and test the [DELIVERABLE] to ensure it meets the Acceptance Criteria (the ""Inspection Period"").Acceptance. If in [PARTY B]'s opinion the [DELIVERABLE] meets the Acceptance Criteria, [PARTY B] will accept the [DELIVERABLE] and notify [PARTY A] that it is accepting the [DELIVERABLE].Deemed Acceptance. [PARTY B] will be deemed to have accepted the [DELIVERABLE] if[PARTY B] fails to notify [PARTY A] on or before the expiration of the Inspection Period, orif during the Inspection Period, [PARTY B] sells or attempts to sell, runs, or otherwise uses the [DELIVERABLE] beyond what is necessary for inspection and testing and in a way a reasonable person would consider consistent with [PARTY B] having accepting ownership of the [DELIVERABLE] from [PARTY A].Rejection. If in [PARTY B]'s opinion, the [DELIVERABLE] fails in a material way to meet the Acceptance Criteria, [PARTY B] may reject the [DELIVERABLE] by delivering to [PARTY A] a written list detailing each failure to satisfy the Acceptance Criteria.Opportunity to Cure. If [PARTY B] rejects the [DELIVERABLE], [PARTY A] will have [NUMBER OF OPPORTUNITIES TO CURE] opportunities to promptly cure each failure in the [DELIVERABLE] and re-deliver the [DELIVERABLE] to [PARTY B] to re-inspect and test.Continued Failure to Cure. If in [PARTY B]'s opinion, [PARTY A]'s corrections fail to satisfy the Acceptance Criteria [NUMBER OF OPPORTUNITIES TO CURE] times, [PARTY B] may eitherterminate this agreement, oradjust the Acceptance Criteria, andrequire [PARTY A] to pay the Adjustment Fee.Adjustment Fee. ""Adjustment Fee"" means $[ADJUSTMENT FEE].Liquidated Damages Statement. [PARTY A] acknowledges thatthe actual damages likely to result from the late delivery of the [DELIVERABLE], due to [PARTY A]'s failure to comply with the Acceptance Criteria, are difficult to estimate when entering this agreement and would be difficult for [PARTY B] to prove,the parties intend that [PARTY A]'s payment of the Adjustment Fees would serve to compensate [PARTY B] for [PARTY A]'s failure to timely deliver [DELIVERABLE] that complies with the Acceptance Criteria, not to serve as punishment for any such breach by [PARTY A].Acceptance Criteria. ""Acceptance Criteria"" means the specifications the [DELIVERABLE] must meet, [as agreed on by the parties in writing / as listed in [ATTACHMENT], attached to this agreement].",Slight Pro-Providee,5
13,Reject for any failure + option to adjust acceptance criteria ,"CompareAcceptance and RejectionInspection Period. [PARTY B] will have [INSPECTION PERIOD] Business Days after [PARTY A] delivers the [DELIVERABLE] to inspect and test the [DELIVERABLE] to ensure it meets the Acceptance Criteria (the ""Inspection Period"").Acceptance. If in [PARTY B]'s opinion the [DELIVERABLE] meets the Acceptance Criteria, [PARTY B] will accept the [DELIVERABLE] and notify [PARTY A] that it is accepting the [DELIVERABLE].Deemed Acceptance. [PARTY B] will be deemed to have accepted the [DELIVERABLE] if[PARTY B] fails to notify [PARTY A] on or before the expiration of the Inspection Period, orif during the Inspection Period, [PARTY B] sells or attempts to sell, runs, or otherwise uses the [DELIVERABLE] beyond what is necessary for inspection and testing and in a way a reasonable person would consider consistent with [PARTY B] having accepting ownership of the [DELIVERABLE] from [PARTY A].Rejection. If in [PARTY B]'s opinion, the [DELIVERABLE] fails in any way to meet the Acceptance Criteria, [PARTY B] may reject the [DELIVERABLE] by delivering to [PARTY A] a written list detailing each failure to satisfy the Acceptance Criteria.Opportunity to Cure. If [PARTY B] rejects the [DELIVERABLE], [PARTY A] will have [NUMBER OF OPPORTUNITIES TO CURE] opportunities to promptly cure each failure in the [DELIVERABLE] and re-deliver the [DELIVERABLE] to [PARTY B] to re-inspect and test.Continued Failure to Cure. If in [PARTY B]'s opinion, [PARTY A]'s corrections fail to satisfy the Acceptance Criteria [NUMBER OF OPPORTUNITIES TO CURE] times, [PARTY B] may eitherterminate this agreement, oradjust the Acceptance Criteria, andrequire [PARTY A] to pay the Adjustment Fee.Adjustment Fee. ""Adjustment Fee"" means $[ADJUSTMENT FEE].Liquidated Damages Statement. [PARTY A] acknowledges thatthe actual damages likely to result from the late delivery of the [DELIVERABLE], due to [PARTY A]'s failure to comply with the Acceptance Criteria, are difficult to estimate when entering this agreement and would be difficult for [PARTY B] to prove,the parties intend that [PARTY A]'s payment of the Adjustment Fees would serve to compensate [PARTY B] for [PARTY A]'s failure to timely deliver [DELIVERABLE] that complies with the Acceptance Criteria, not to serve as punishment for any such breach by [PARTY A].Acceptance Criteria. ""Acceptance Criteria"" means the specifications the [DELIVERABLE] must meet, [as agreed on by the parties in writing / as listed in [ATTACHMENT], attached to this agreement].",Heavy Pro-Providee,5
14,Master Services Agreement ,"CompareAcceptance and RejectionInspection Period. [PARTY B] will have [INSPECTION PERIOD] Business Days after [PARTY A] provides each [DELIVERABLE] to inspect and test the [DELIVERABLE] to ensure it meets the acceptance criteria outlined in the applicable Statement of Work (the ""Inspection Period"").Acceptance. If in [PARTY B]'s opinion the [DELIVERABLE] meets the acceptance criteria, [PARTY B] will accept the [DELIVERABLE] and notify [PARTY A] that it is accepting the [DELIVERABLE].Deemed Acceptance. [PARTY B] will be deemed to have accepted the [DELIVERABLE] if[PARTY B] fails to notify [PARTY A] on or before the expiration of the Inspection Period, orif during the Inspection Period, [PARTY B] uses or attempts to use the [DELIVERABLE] beyond what is necessary for inspection and testing and in a way a reasonable person would consider consistent with [PARTY B] having accepted the [DELIVERABLE] from [PARTY A].Rejection. If in [PARTY B]'s opinion, the [DELIVERABLE] fails in a material way to meet the acceptance criteria, [PARTY B] may reject the [DELIVERABLE] by delivering to [PARTY B] a written list detailing each failure to satisfy the acceptance criteria.Opportunity to Cure. If [PARTY B] rejects the [DELIVERABLE], [PARTY A] will have [NUMBER OF OPPORTUNITIES TO CURE] opportunities to promptly cure each failure in the [DELIVERABLE] and re-deliver the [DELIVERABLE] to [PARTY B] to re-inspect and test.Continued Failure to Cure. If in [PARTY B]'s opinion, [PARTY A]'s corrections fail to satisfy the acceptance criteria [NUMBER OF OPPORTUNITIES TO CURE] times, [PARTY B] may eitherterminate this agreement, oradjust the acceptance criteria for that [DELIVERABLE], andrequire [PARTY A] to pay the Adjustment Fee.Adjustment Fee. ""Adjustment Fee"" means $[ADJUSTMENT FEE].Liquidated Damages Statement. [PARTY A] acknowledges thatthe actual damages likely to result from the late delivery of a [DELIVERABLE], due to [PARTY A]'s failure to comply with the Acceptance Criteria, are difficult to estimate when entering this agreement and would be difficult for [PARTY B] to prove,the parties intend that [PARTY A]'s payment of the Adjustment Fees would serve to compensate [PARTY B] for [PARTY A]'s failure to timely deliver a [DELIVERABLE] that complies with its acceptance criteria, not to serve as punishment for any such breach by [PARTY A].",Neutral,5
15,Reseller Agreement ,"CompareAcceptance and Rejection of Product DeliveriesInspection Period. [PARTY B] will have [INSPECTION PERIOD] Business Days after [PARTY A] delivers an order of Products to inspect and test the Products for defects and to ensure the order meets the specifications of the applicable Purchase Order (the ""Inspection Period"").Acceptance. If in [PARTY B]'s opinion the Products satisfy the specifications of the applicable Purchase Order, [PARTY B] will accept the Products and notify [PARTY A] that it is accepting them.Deemed Acceptance. [PARTY B] will be deemed to have accepted Products if[PARTY B] fails to notify [PARTY A] on or before the expiration of the Inspection Period, orif during the Inspection Period, [PARTY B] sells or attempts to sell, runs, or otherwise uses the Products beyond what is necessary for inspection and testing, and in a way a reasonable Person would consider consistent with [PARTY B] having accepting the delivery from [PARTY A].Rejection and Cure. If in [PARTY B]'s opinion, a delivery of Products fails to meet the specifications of the applicable Purchase Order,[PARTY B] shall deliver to [PARTY A] a written list detailing each failure, and[PARTY A] shall promptly deliver to [PARTY B] any Products necessary to remedy each failure, at no expense to [PARTY B]. ",Neutral,5
16,Real Property Lease ,"Acceptance of PremiseInspection. Before signing this agreement, [PARTY B] has inspected, or has had an opportunity to inspect, the Premise, and has determined that the Premise is suitable for [PARTY B]'s intended use.Delivery of Premise. [PARTY A] shall deliver possession of the Premise to [PARTY B] on [the Effective Date / [DATE]].As-Is Condition. [Subject to any other obligations of [PARTY A] under this agreement to make any improvements or repairs, to correct any defects, or provide maintenance services, ][PARTY B] accepts the Premise ""As Is"" and with all faults[ (other than latent defects)].",Neutral,6
17,Pro-Landlord ,"CompareAcceptance of PremiseInspection. Before signing this agreement, [PARTY B] has inspected, or has had an opportunity to inspect, the Premise, and has determined that the Premise is suitable for [PARTY B]'s intended use.Warranty Disclaimer. [PARTY B] is not relying on, and [PARTY A] is not making, any express or implied representations or warranties in connection with this agreement or the Premise, including no representations or warranties regardingthe physical condition of the Premise, the buildings, or surrounding property,the existence, quality, adequacy, or availability of utilities serving the Premise,the size of the Premise or the buildings,the use, habitability, merchantability, fitness, or suitability of the Premise for [PARTY B]'s intended use,[PARTY B]'s likelihood of deriving business from the location of the Premise, or anything else regarding the economic feasibility of [PARTY B]'s business at the Premise,hazardous materials on, in, under or around the Premise,zoning, entitlements or any Law which may apply to [PARTY B]'s use of the Premise or business operations, or how the Premise complies with Law, orany other matter.As-Is Condition. [Subject to any other obligations of [PARTY A] under this agreement to make any improvements or repairs, to correct any defects, or provide maintenance services, ][PARTY B] accepts the Premise ""As Is"" and with all faults[ (other than latent defects)].Warranties Waived. To the extent permitted by Law, [PARTY B] hereby waives any implied warranties of [PARTY A] regarding the quality or condition of the Premise or property, or regarding the fitness or suitability of the Premise or property for any particular use.",Slight Pro-Provider,6
18,Personal Property Lease ,"CompareAcceptance of EquipmentInspection. Before signing this agreement, [PARTY B] has inspected, or has had an opportunity to inspect, the Equipment, and has determined that the Equipment is suitable for [PARTY B]'s intended use.As-Is Condition. [Subject to any other obligations of [PARTY A] under this agreement to make any improvements or repairs, to correct any defects, or provide maintenance services, ][PARTY B] accepts the Equipment ""As Is"" and with all faults[ (other than latent defects)].",Neutral,6
19,Acceptance of Terms of Service ,"Acceptance of Terms of Service. This is an agreement between [COMPANY NAME] (""Company""), the owner and operator of [WEBSITE URL] (the ""Site""), and you (""you"" or ""You""), a user of the Site. By using the Site you acknowledge and agree to these Terms of Service and also the Privacy Policy, which can be found at [PRIVACY POLICY URL] and is incorporated by reference. If you choose to not agree with any of these terms, you may not use the Site.",Neutral,7
20,Acceptance w/ COPPA Provisions ,"CompareAcceptance of Terms of Service. This is an agreement between [COMPANY NAME], (""Company""), the owner and operator of [WEBSITE URL] (the ""Site""), and you (""you"" or ""You""), a user of the Site. By using the Site you acknowledge and agree to this Terms of Service, and the Privacy Policy, which can be found at [PRIVACY POLICY URL], and which is incorporated by reference. If you choose to not agree with any of these terms, you may not use the Site.The Site is offered and available to users who 13 years of age or older. By using this Site, you represent and warrant that you meet all of the foregoing eligibility requirements. If you do not meet all of these requirements, you must not access or use the Site.",,7
21,Access To Data ,Access to Data. Discloser shall limit access to Data to those staff members with a well-defined business need.,Neutral,8
22,Pro-Discloser ,"CompareAccess to DataMethod of Access and Transfer. Data will be obtained in the following manner:[DESCRIBE METHOD OF ACCESS]Persons Having Access to Data. All persons who will have access to data must complete a data privacy training through [TRAINING PROGRAM]. Prior to the transfer of any data, staff members who will have access to the data shall sign the Non-Disclosure Agreement (Appendix A) and deliver signed copies to [DISCLOSER CONTACT].Frequency of Data Exchange. Data will be exchanged as needed to meet reporting requirements as well as on an ongoing basis between Discloser and Recipient staff for the entire length of the project.[Criminal Background Checks. Recipient shall certify that all staff members with access to Data have been subjected to a bone fide criminal background check and have no record of any felony convictions. Any exceptions to this requirement must be approved in writing by Discloser.]",,8
23,Data Processing: third-party access ,"Compare Third Party Requests for Access to DataNon-Governmental Requests. Provider will not disclose Customer Personal Data to any third party, unless authorized by the Customer or required by law.Governmental Requests. If a government or Supervisory Authority demands access to Client Personal Data, IBM will notify Client prior to disclosure, unless prohibited by law.",,8
24,Standard ,"Access to Information[PARTY A]'s Access. On reasonable notice to the [PARTY B], the [PARTY A] may[, during normal business hours] prior to the Effective Time, have reasonable access to the [PARTY B]'s, its Subsidiaries', and Affiliates':properties, facilities, operations, and Books and Records[, and those of the Business]; andofficers, employees, attorneys, independent accountants, and other agents, to discuss the business, condition (financial or otherwise) or prospects of the [PARTY B] [in furtherance of the Transaction] Minimal Interference. The [PARTY A] shall use reasonable efforts to minimize any interference with the [PARTY B] [and Businesses'] regular operations during any such access.[PARTY B]'s Cooperation. The [PARTY B] shall cooperate with the [PARTY A] in the [PARTY A]'s reasonable requests for access. ",Neutral,9
25,Accessibility of Website During Construction ,"Accessibility of Website During Construction. During the construction and testing of the Website, Customer's website shall remain accessible to end users.",Neutral,10
26,Accessing and Correcting Information ,"Accessing and Correcting User InformationOpportunity to Correct Contact Information and Preferences. [PARTY A] shall provide Users with the opportunity to ensure that contact information and preferences are accurate, complete, and up to date, through each User's account, accessible from [WEBSITE LOGIN URL].Opportunity to Request Corrections and Deletions. Subject to paragraph [DISCRETION OVER CORRECTIONS AND DELETIONS], [PARTY A] shall provide Users with the opportunity to request that [PARTY A]correct inaccurate Personally Identifiable Information [PARTY A] holds, anddelete Information [PARTY A] is not required to retain by Law or for legitimate business purposes.Discretion Over Corrections and Deletions. [PARTY A] will have the sole discretion to adhere to or decline User requests to correct or delete Information that are frivolous or vexatious, jeopardize the privacy of others, are extremely impractical, or not otherwise required by Law.",Neutral,11
27,Account ,"AccountsSeparate Participant Accounts. The Committee shall maintain a separate account for each Participant, in the Participant's name (each one a ""Participant Account,"" or to specify the account of a specific Participant, ""Participant's Account"").Amounts Credited to Account. On the last day of each calendar year, [PARTY A] shall credit each Participant Account with an amount equal to 10% of the Base Salary paid to the relevant Participant during that calendar year.Account Earnings. At the end of each calendar quarter, [PARTY A] shall credit each Participant Account with the earnings on the Participant Account, compounded quarterly.",Neutral,12
28,Account Security ,"Account Security. The Company cares about the integrity and security of your personal information. However, the Company cannot guarantee that unauthorized third parties will never be able to defeat the Site's security measures or use any personal information you provide to us for improper purposes. You acknowledge that you provide your personal information at your own risk.",Neutral,13
29,Accounts and Records ,"Accounts and RecordsMaintenance of Records. Licensee shall maintain accurate account books and records showing the manufacture and sale or other distribution of Licensed Products for a period of at least [MAINTENANCE PERIOD] after the payment of the corresponding royalty.Access to Records. All books and records shall be available for inspection and examination by Licensor or a duly authorized representative, upon [AUDIT NOTICE PERIOD], during normal business hours.Under/Over Payments. In the event an audit shows a deficiency to be due, Licensee shall promptly pay the amount of the deficiency to Licensor. If the audit shows that an excess was paid, Licensor shall be entitled to deduct the amount of such excess from the payment due for the next calendar quarter or pay the amount to Licensee without undue delay, at Licensor's discretion.Late Payments. Amounts that are not paid when due will accrue interest from the due date until paid, at a rate equal to [INTEREST RATE] per month or the maximum allowed by law, if less.",Neutral,14
30,Delivery of Records ,"CompareReports and Records. To the extent that Licensor or its members do not have access to the underlying information, Licensee shall, upon Licensor's written request, furnish Licensor with [semiannual / annual] reports of all sales of all products subject to this Agreement and of all sublicensing agreements hereunder. Licensor shall have the right to inspect the books and records of Licensee relating to sales of all products subject to this agreement and to all sublicensing agreements hereunder.",,14
31,test alternative ,Compare thats is a testing alternativeExample Notes test,Neutral,14
32,[PARTY A] ,"Accounts ReceivableDisclosure of Accounts Receivable. [PARTY A]'s Financial Statements correctly list all Accounts Receivable, along with an aging report of these accounts.Status of Accounts Receivable. [PARTY A]'s Accounts Receivablearose from bona fide sales of goods and services in the ordinary course of business,are carried at values determined according to GAAP consistently applied,constitute undisputed claims of [PARTY A], not subject to claims of set-off, other defenses, or counterclaims, other than normal cash discounts accrued in the ordinary course of business consistent with past practice,subject to the reserve for bad debts reflected on the interim Balance Sheet, are collectible in full within 90 days after billing, andare free from any Encumbrance.Certain Accounts Receivable Not Included. Accounts Receivable arising from unclaimed property and unasserted legal claims are not reflected on [PARTY A]'s Balance Sheet.",Neutral,15
33,[PARTY B] ,"CompareAccounts ReceivableDisclosure of Accounts Receivable. [PARTY B]'s Financial Statements correctly list all Accounts Receivable, along with an aging report of these accounts.Status of Accounts Receivable. [PARTY B]'s Accounts Receivablearose from bona fide sales of goods and services in the ordinary course of business,are carried at values determined according to GAAP consistently applied,constitute undisputed claims of [PARTY B], not subject to claims of set-off, other defenses, or counterclaims, other than normal cash discounts accrued in the ordinary course of business consistent with past practice,subject to the reserve for bad debts reflected on the interim Balance Sheet, are collectible in full within 90 days after billing, andare free from any Encumbrance.Certain Accounts Receivable Not Included. Accounts Receivable arising from unclaimed property and unasserted legal claims are not reflected on [PARTY B]'s Balance Sheet.",Neutral,15
34,Standard ,"Accuracy of Confidential Information and Release from LiabilityNo Guarantee of Accuracy. Neither party makes any representation or warranty, express or implied, as to the accuracy or completeness of the Confidential Information it discloses.Release from Liability. The parties hereby release one another, and one another's Representatives and Affiliates, from any liability arising out of the use of any Confidential Information, or any inaccuracies, omissions, or errors in the Confidential Information.Effect on the Transaction. The representations and releases made under this clause will have not effect or apply to the finalized Transaction, if such Transaction is finalized, or any representations or warranties, or any information disclosed in the Transaction.",Heavy Pro-Provider,16
35,[PARTY A] ,"Information SuppliedAccuracy of Information. None of the information [PARTY A] has supplied or will supply under this agreement contains or willcontain any untrue statement of a material fact, or omit to state a material fact required to ensure the statements made, in light of the circumstances in which [PARTY A] made them, are not misleading.Information Sent to Third-Parties. [PARTY A] makes no representation in connection with the truthfulness or non-misleading nature of statements it made or incorporated by reference into any materials it sends to any Governmental Authority or other third-party under this agreement, when it based the statements on information supplied by [PARTY B] under this agreement.Compliance of Information with Applicable Law. The information [PARTY A] has supplied or will supply under this agreement will comply in all material respects with any applicable Law.",Neutral,17
36,[PARTY B] ,"CompareInformation SuppliedAccuracy of Information. None of the information [PARTY B] has supplied or will supply under this agreement contains or willcontain any untrue statement of a material fact, or omit to state a material fact required to ensure the statements made, in light of the circumstances in which [PARTY B] made them, are not misleading.Information Sent to Third-Parties. [PARTY B] makes no representation in connection with the truthfulness or non-misleading nature of statements it made or incorporated by reference into any materials it sends to any Governmental Authority or other third-party under this agreement, when it based the statements on information supplied by [PARTY A] under this agreement.Compliance of Information with Applicable Law. The information [PARTY B] has supplied or will supply under this agreement will comply in all material respects with any applicable Law.",Neutral,17
